brand,description,link,price,discount
aadi,Running Shoes For Men,/aadi-running-shoes-men/p/itmd9d5ed37454f5?pid=SHOFZ9XMTQJEFCKT&lid=LSTSHOFZ9XMTQJEFCKT5WCG0J&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_12&otracker=search&fm=organic&iid=en_qW8pixY3o%2B95z4jgHsE2%2Fh85a1Cp1c3tbpfiHes2xHXdUOv5XaBeYvxsOgFApRSSN6aqNfIh16H8KbHKoAMDhg%3D%3D&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹499,50% off
RED TAPE,Running Shoes For Men,/red-tape-running-shoes-men/p/itmd4217fdbf5a6b?pid=SHOG68ESGHGHHDXP&lid=LSTSHOG68ESGHGHHDXPTK9RMS&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_13&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOG68ESGHGHHDXP.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹1,224",75% off
BEEROCK,Kosko Running Shoes For Men,/beerock-kosko-running-shoes-men/p/itm1ee99abaf7675?pid=SHOFYE97QWXMUNMF&lid=LSTSHOFYE97QWXMUNMFEFS9EW&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_14&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOFYE97QWXMUNMF.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹499,50% off
World Wear Footwear,Exclusive Range of Stylish Comfortable Sports Sneakers ...,/world-wear-footwear-exclusive-range-stylish-comfortable-sports-sneakers-running-shoes-men/p/itmb30666ea35211?pid=SHOFZ2QYDJVMVDHG&lid=LSTSHOFZ2QYDJVMVDHGDGR2JL&marketplace=FLIPKART&q=shoes&store=osp&spotlightTagId=BestsellerId_osp&srno=s_1_15&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOFZ2QYDJVMVDHG.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹419,58% off
BIRDE,Premium Sports Shoes for Women Walking Shoes For Women,/birde-premium-sports-shoes-women-walking/p/itm745da071ea13e?pid=SHOGD8GSPMVRBGJB&lid=LSTSHOGD8GSPMVRBGJBA9OWWT&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_16&otracker=search&fm=organic&iid=en_qW8pixY3o%2B95z4jgHsE2%2Fh85a1Cp1c3tbpfiHes2xHUDx3qPANatn3Jx2MewIVOKI35Z9ufk7kqHMYE71XK%2BFA%3D%3D&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹499,50% off
asian,"Delta-20 Grey Sports,Casual,Walking,Gym, Walking Shoes ...",/asian-delta-20-grey-sports-casual-walking-gym-walking-shoes-men/p/itmaa1bc47fccb23?pid=SHOGCU8ESKRNZS82&lid=LSTSHOGCU8ESKRNZS82RHVPZG&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_17&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOGCU8ESKRNZS82.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹799,38% off
HRX by Hrithik Roshan,ACTIVE RUN Running Shoes For Men,/hrx-hrithik-roshan-active-run-running-shoes-men/p/itm2c4ebcecd8b84?pid=SHOGGJTWGAAASBEZ&lid=LSTSHOGGJTWGAAASBEZXSEUIH&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_18&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOGGJTWGAAASBEZ.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹3,499",
WAAN,Stylish Comfortable Shoes Walking Shoes For Men,/waan-stylish-comfortable-shoes-walking-men/p/itm1e87c9c44ef0d?pid=SHOG5PSEFQBED5YY&lid=LSTSHOG5PSEFQBED5YYOMAEZT&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_19&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOG5PSEFQBED5YY.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹599,70% off
RED CHIEF,RC3488 Outdoors For Men,/red-chief-rc3488-outdoors-men/p/itmfavrcavhczncj?pid=SHOFAVRCUEJ4W43T&lid=LSTSHOFAVRCUEJ4W43T7YINKL&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_20&otracker=search&fm=organic&iid=en_qW8pixY3o%2B95z4jgHsE2%2Fh85a1Cp1c3tbpfiHes2xHVbhomiuaKZJV38L%2B3SKOhqQqkyFUYDsYBntlizggsStA%3D%3D&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹2,531",35% off
aadi,Mesh |Lightweight|Comfort|Summer|Trendy|Walking|Outdoor...,/aadi-mesh-lightweight-comfort-summer-trendy-walking-outdoor-daily-use-running-shoes-men/p/itme8278bd8bc13c?pid=SHOGG8EECDQEAFFF&lid=LSTSHOGG8EECDQEAFFFD4DZ4S&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_21&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOGG8EECDQEAFFF.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹449,55% off
